Seed,Model,Feature_Set,Features,N_Train,N_Test,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE
0,LinearRegression,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.8537236436839649,0.03773698838986555,0.4692327212342998,157.64655131896603,72.19180921610442
0,Ridge,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.8558389458580955,0.03801240051508391,0.4762599184882521,156.5994778544178,71.72787136375173
0,ElasticNet,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.855592643039353,0.03797329092495025,0.4769864121710564,156.4908285304223,71.68158002887269
0,BayesianRidge,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.8553865564400777,0.03816488268468626,0.47506828027439973,156.77752790568942,71.80504684676686
0,SVR_RBF,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.12222093352454785,0.09449456006534204,0.26516766558914706,185.492576217306,85.15312527584369
0,KNN,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.8463886290612553,0.09583368041742318,0.5243855369668594,149.23130274722106,63.62808084983346
0,GradientBoosting,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.6934647155855493,0.12457107417549407,-0.4490540646642762,260.4801891959243,84.67385085601568
0,HistGradientBoosting,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.4759505367480104,0.32199972574334995,0.4229603848028849,164.37479292392925,84.59603665694966
0,RandomForest,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.7582597378348143,0.11697065693988808,0.14319279830589826,200.29677560259185,65.31837963636362
0,ExtraTrees,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.8331891363254096,0.052791909305620076,0.4986242373830686,153.2195109171566,57.565031636363614
0,LinearRegression,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.8679242110148543,0.0460051969994336,0.557045541735912,144.01639731783106,62.52304978915941
0,Ridge,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.8690324292987348,0.04581175827554623,0.5597298727951598,143.5793601136859,62.20373356246506
0,ElasticNet,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.8689003229257082,0.04583555327917375,0.5599773270537924,143.5390049820945,62.17092725380099
0,BayesianRidge,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.8688222904478786,0.04589016904532162,0.55904988203861,143.69019544263253,62.28544574461803
0,SVR_RBF,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.1242038438229692,0.09813326786012064,0.2583533826290729,186.35065091470273,84.43937882428955
0,KNN,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.8330599546796558,0.11801301780691542,0.4723659323423911,157.18055514861788,68.62922993318588
0,GradientBoosting,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.7045969959165366,0.12378307513571807,-0.3874535297025812,254.88344416535577,83.44732705578421
0,HistGradientBoosting,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.5025018137290039,0.3139531367260897,0.4868030582503404,155.01525311268588,77.23036063626398
0,RandomForest,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.7640867222029495,0.06996930218791157,0.11726597555876306,203.3046618092349,66.6384832727272
0,ExtraTrees,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",218,55,0.8004898867852009,0.10362799225063227,0.440692093758314,161.82957111835884,60.650672
0,LinearRegression,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.6241631087021828,0.18594513598610363,0.5752915394708162,141.01907453782061,73.2645581481332
0,Ridge,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.6271390740835077,0.18197458902443922,0.5774429994090897,140.66143850523449,73.12191158834692
0,ElasticNet,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.626746788297053,0.1824931439718627,0.5777082658722311,140.61728041533172,73.10282031175238
0,BayesianRidge,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.629133300936562,0.17935346963379514,0.5790906580324737,140.3869330558838,73.00592434307856
0,SVR_RBF,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.10251841846766574,0.08270956925801133,0.2103565341897662,192.2861158900206,87.08309153175367
0,KNN,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.6737517193277347,0.16506297589380628,0.6143640948142055,134.37582242542288,68.11677781197832
0,GradientBoosting,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.5222455971103319,0.14515475973296568,0.23723859204884457,188.98474970222034,88.95689127355777
0,HistGradientBoosting,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.4816049905366471,0.2784977676258065,0.5322041101414938,147.99962152318628,77.30698796024012
0,RandomForest,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.622791645575873,0.13912968841458445,0.5218578831122853,149.62732228610224,70.24558181818173
0,ExtraTrees,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.7288932770385657,0.15905537700415995,0.5281511212457484,148.63937400579206,69.20871672727256
0,LinearRegression,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.7348492566759364,0.1711228846221123,-0.09509918829950892,226.44312123653506,110.72897129724477
0,Ridge,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.7362332600384394,0.1713265494538074,-0.08073649245722625,224.95327074702368,110.18377270015009
0,ElasticNet,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.736071731541117,0.1713081490915698,-0.07931990816522605,224.80579272450098,110.12854905148713
0,BayesianRidge,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.7354900760199832,0.1709615903422725,-0.08454210251300176,225.3489879843677,110.32708550876256
0,SVR_RBF,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.07874319907411143,0.06760197110507259,0.15967710888719167,198.36064009724103,92.48474223468725
0,KNN,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.7267739626174105,0.09997638878540513,0.3657406459807656,172.3319667194843,78.97391961398047
0,GradientBoosting,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.6163430894852899,0.2631202894974872,-0.529749424831423,267.63478153814503,91.2505462316195
0,HistGradientBoosting,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.3392193539289221,0.3268378044362915,0.11452723305685764,203.61980085145333,102.34653984833889
0,RandomForest,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.6650348977094129,0.22349881468970587,-0.13996728451964247,231.0354366290589,87.05522690909095
0,ExtraTrees,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.6346923694376466,0.1829565112544625,0.23158168370746723,189.68424404142658,80.23172290909102
0,LinearRegression,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.8614129603335161,0.03800719824839098,0.5263809871461299,148.91792221608898,67.4719620524809
0,Ridge,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.8627042556007843,0.03837592446248821,0.5284907201921527,148.58587503312063,67.32342273639424
0,ElasticNet,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.8625462955774765,0.03834295177158007,0.5286476299925685,148.5611496236902,67.31089131151087
0,BayesianRidge,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.8624427921569111,0.03831915987805507,0.5279935253530661,148.6641944517568,67.35641322474306
0,SVR_RBF,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.16363405949674278,0.10806536213733876,0.2900537664275804,182.32454300583697,82.99665796829139
0,KNN,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.8347798223527988,0.08522419776396506,0.6133860934725913,134.54610807022365,61.996101983071654
0,GradientBoosting,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.68954545032519,0.13340434503592094,-0.5956242407972618,273.3365551295277,87.05056865307401
0,HistGradientBoosting,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.2644681047931404,0.4146904450678675,0.5526727396734128,144.72550927277396,72.57729950718364
0,RandomForest,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.7521053964457634,0.13644676892255442,0.11236325523865565,203.8684588947953,68.92688036363639
0,ExtraTrees,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.8620648596839955,0.032416515797894986,0.4917095073199669,154.272457312833,60.358352363636286
1,LinearRegression,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.8100001199695555,0.18269258742937677,0.7062181719343583,154.5140366421496,49.043813180220816
1,Ridge,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.8109458809327034,0.18190014332279733,0.7060834667201918,154.5494565678538,49.00251864357824
1,ElasticNet,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.8108332566440355,0.1819959189859251,0.706071018968032,154.55272921968793,48.996148030643106
1,BayesianRidge,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.8106849921958759,0.18221482310339274,0.7060832455549115,154.5495147152589,49.00245637384372
1,SVR_RBF,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.12111320500135792,0.08754212279533709,0.09230835988216202,271.5967957142012,90.92475549540008
1,KNN,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.8185897332174934,0.06669653158924202,0.7097266569406576,153.58862464941217,46.33481237845723
1,GradientBoosting,All_features,"pH, Fe, Mn, Al, SO4",218,55,0.8004022857110012,0.15279038006548065,0.7816037196230281,133.22265753847194,42.93441114220792
