Stratify_Col,Avg_BestModel_MedianR2,Avg_BestModel_P2_5
Al,0.8506931936557238,0.38126551360574734
Mn,0.8098186613708329,0.21113465896821287
pH,0.7942186391014424,0.18420718333838146
