Model,Outlier_Mode,Seeds,CV_R2_Mean_Median,CV_R2_Mean_Mean,CV_R2_Mean_Std,Test_R2_Median,Test_R2_Mean,Test_R2_Std,Test_RMSE_Median,Test_RMSE_Mean,Test_RMSE_Std,Test_MAE_Median,Test_MAE_Mean,Test_MAE_Std,Test_R2_P2_5,Test_R2_P97_5
KNN,none,1,0.8189771455616908,0.8189771455616908,,0.7424961248448003,0.7424961248448003,,80.39582393924678,80.39582393924678,,41.362704274373044,41.362704274373044,,0.7424961248448003,0.7424961248448003
ExtraTrees,winsorize_1_99,1,0.8279191658066216,0.8279191658066216,,0.7279170484961941,0.7279170484961941,,82.64037342498564,82.64037342498564,,40.318804057970816,40.318804057970816,,0.7279170484961941,0.7279170484961941
Ridge,winsorize_1_99,1,0.7792770717156984,0.7792770717156984,,0.5846262748712039,0.5846262748712039,,102.1083166670311,102.1083166670311,,57.75295196867978,57.75295196867978,,0.5846262748712039,0.5846262748712039
