Rank,Model,Outlier_Mode,Seeds,CV_R2_Mean_Median,External_R2_Median,External_R2_Mean,External_R2_Std,External_RMSE_Median,External_MAE_Median,External_R2_P2_5,External_R2_P97_5
1,MLP,winsorize_1_99,30,0.8328612836613933,0.8216559726388251,0.8213497400611317,0.010740059058524995,66.90689693015017,35.74800476781657,0.8027753640348474,0.8404565788472932
2,ExtraTrees,winsorize_1_99,30,0.7913716693997042,0.7124451934573405,0.7122073785400865,0.025096481360437774,84.95753741997035,41.81375652173914,0.6634645509833259,0.751848526125825
3,KNN,none,30,0.7603932821242472,0.6111455612245331,0.6111455612245332,0.0,98.79503883960388,46.80268115942029,0.6111455612245331,0.6111455612245331
4,Ridge,winsorize_1_99,30,0.7934899916233245,0.5846262748712041,0.584626274871204,0.0,102.10831666703109,57.752951968679774,0.5846262748712041,0.5846262748712041
