Stratify_Col,Model,Outlier_Mode,Seeds,Test_R2_Median,Test_R2_Mean,Test_R2_Std,Test_RMSE_Median,Test_MAE_Median,Test_R2_P2_5,Test_R2_P97_5
Al,Ridge,winsorize_1_99,30,0.889465685889393,0.8299651988286366,0.1673807706348245,81.27533065935071,42.39504181541002,0.454896733646448,0.9500590642228677
Al,Ridge,none,30,0.8848653302283969,0.8475177292016544,0.13249387734840984,71.37918809835426,39.17569676174706,0.5345223123574152,0.9672367565216851
Al,ExtraTrees,winsorize_1_99,30,0.883914731639701,0.814490051079932,0.21572688569040127,85.92487799727223,35.52723690909089,0.42271583672284635,0.9410631444892922
Al,KNN,winsorize_1_99,30,0.8614550548163523,0.8146141610382941,0.1399123787642443,91.49491858485479,36.514662970673456,0.4596261927905794,0.9527701946543574
Al,KNN,none,30,0.8613905184743798,0.809266708206488,0.15295829251899068,96.01633235178717,36.469724850907454,0.45178687081162006,0.9362944163703932
Mn,ExtraTrees,winsorize_1_99,30,0.8516181309490205,0.7533790459365937,0.2793022774457045,96.37692009014745,38.856155454545444,0.08596928786701104,0.9709052728591575
Al,RandomForest,winsorize_1_99,30,0.8501359150020429,0.768730477436778,0.30001156048223443,102.31624626139501,37.253645272727226,0.23903788802931059,0.9215607163827173
Al,ExtraTrees,none,30,0.847774325389021,0.8217220170746119,0.15344751937351547,92.23182106110411,36.36568109090906,0.5186010142943919,0.9426443521984597
Al,RandomForest,none,30,0.8418795565359607,0.7674907291504803,0.27893790200134533,108.21443261383979,38.80492345454549,0.280900781023268,0.89999593854614
pH,ExtraTrees,winsorize_1_99,30,0.8363931087915841,0.7601570907942102,0.24428315270939888,86.69229089997069,35.486793090909,0.14345169358775173,0.9485023574971355
pH,RandomForest,winsorize_1_99,30,0.8357110321187753,0.7319244318944421,0.3528024502898921,91.02270556569466,36.946328727272686,-0.17504175110535627,0.9307615411220704
pH,RandomForest,none,30,0.8286910513653273,0.7307500088798297,0.3307831689702386,96.7584196511284,38.12796563636362,-0.0943782479733615,0.9269509818109752
Mn,ExtraTrees,none,30,0.8231685942283569,0.7777078164759622,0.17413654801113868,113.70098693055824,41.619907454545455,0.36304551220242287,0.9674439951126671
Mn,RandomForest,winsorize_1_99,30,0.8224778780821785,0.7158553642710509,0.34396892238498744,112.96303907631638,39.87932781818177,-0.14345276166598672,0.9734426006349902
Mn,Ridge,none,30,0.8207662038564418,0.7892816729270856,0.15748015189765735,105.06669089423559,45.04897335530508,0.4455535593967417,0.9469582781952454
pH,ExtraTrees,none,30,0.8194968137579317,0.7739634376426561,0.16807954962517604,94.36554834546214,37.7155319999999,0.3912239954111855,0.9424023617969317
Mn,RandomForest,none,30,0.8115168701983655,0.7161871319215828,0.3087784351180919,118.6096776433539,40.29773799999999,-0.0421911160437054,0.9521845718585075
Mn,Ridge,winsorize_1_99,30,0.8090722500311112,0.7779212955323332,0.19858153091470201,100.11525625997669,48.84484363334785,0.34959101441383156,0.9568675285010753
pH,KNN,none,30,0.8054891547992357,0.7591582966120508,0.15625884795948397,112.83343240652064,41.83898040434891,0.43854142788583184,0.9229514607730215
pH,KNN,winsorize_1_99,30,0.8010899850262447,0.7588277857937903,0.15202292643440507,105.21533185700945,39.787149489939,0.45681077918449514,0.9293420135897161
pH,Ridge,winsorize_1_99,30,0.7961140699529836,0.7630454221232928,0.1720787720623151,92.17127853299374,49.00425278024211,0.38571352687739485,0.9417771038002951
pH,Ridge,none,30,0.7932319880282087,0.7696333711020962,0.1474731593944713,94.40116104739835,44.8196245845514,0.4375292584498919,0.9376436514716768
Mn,KNN,winsorize_1_99,30,0.7922733051435917,0.7755660498748644,0.13809653840338912,112.12881257964573,43.20919640507866,0.5145775705674827,0.9707906963095732
Mn,KNN,none,30,0.7833544208021002,0.7626507060313391,0.15290284068802465,128.87772168196392,42.692437661893294,0.49859577648694964,0.9571325792669821
Al,MLP,none,30,0.76849458093113,0.7189083639985819,0.18571226589467388,118.91956170747892,53.2570089603415,0.3300509168395524,0.9484915909632277
Mn,MLP,winsorize_1_99,30,0.7619577888229314,0.709940342247684,0.22335221472350764,114.86289440630274,50.849835517320734,0.15302563867581565,0.9461793350208719
Mn,MLP,none,30,0.7582237995445029,0.6881443342785409,0.21914718305363293,116.23292176052985,51.82661208230189,0.1746154369337056,0.9447777244884381
Al,MLP,winsorize_1_99,30,0.7483961297415356,0.7127323656675083,0.1652597329720544,127.42180756392544,54.71825704690089,0.3922075662489657,0.9447619377913897
pH,MLP,winsorize_1_99,30,0.6973858298446332,0.6379205709928455,0.21856714174751082,146.33285115138654,57.99598523561417,0.12837101944628512,0.9011397985029646
pH,MLP,none,30,0.6712961549202698,0.6234606948431546,0.25987043953750144,134.71969583408327,57.106071220802946,0.030881079016289174,0.9185994710674754
