Seed,Model,Outlier_Mode,CV_R2_Mean,External_R2,External_RMSE,External_MAE
23,KNN,none,0.6831410089828948,0.6111455612245331,98.79503883960388,46.80268115942029
23,MLP,winsorize_1_99,0.7894536975772757,0.8228943558688305,66.67419898178446,35.25120085624835
24,Ridge,winsorize_1_99,0.6188474230777802,0.5846262748712041,102.10831666703109,57.752951968679774
24,ExtraTrees,winsorize_1_99,0.6596375925600035,0.7109245921173325,85.18187186993711,41.16902898550727
24,KNN,none,0.7824461281070338,0.6111455612245331,98.79503883960388,46.80268115942029
24,MLP,winsorize_1_99,0.687175675209158,0.8151045294367736,68.1247218417433,35.55623208998085
25,Ridge,winsorize_1_99,0.8677387109601721,0.5846262748712041,102.10831666703109,57.752951968679774
25,ExtraTrees,winsorize_1_99,0.851880074463646,0.7443023727878316,80.11336151214785,39.170801449275366
25,KNN,none,0.7878890607021731,0.6111455612245331,98.79503883960388,46.80268115942029
25,MLP,winsorize_1_99,0.8807984551326525,0.8216177648035592,66.91406388651873,36.51525082902422
26,Ridge,winsorize_1_99,0.8048456514229162,0.5846262748712041,102.10831666703109,57.752951968679774
26,ExtraTrees,winsorize_1_99,0.81820652921279,0.6993271161131063,86.87378375649355,42.17874347826087
26,KNN,none,0.7738067585861396,0.6111455612245331,98.79503883960388,46.80268115942029
26,MLP,winsorize_1_99,0.8324416380842061,0.8258143688148366,66.12227221818137,36.036014072439464
27,Ridge,winsorize_1_99,0.817175121533683,0.5846262748712041,102.10831666703109,57.752951968679774
27,ExtraTrees,winsorize_1_99,0.8193312228048686,0.6964437993360861,87.28933002817685,43.508386956521754
27,KNN,none,0.7626436904473901,0.6111455612245331,98.79503883960388,46.80268115942029
27,MLP,winsorize_1_99,0.8362636282007958,0.8409070714441673,63.192719271884215,34.513227677184815
28,Ridge,winsorize_1_99,0.8142939317632724,0.5846262748712041,102.10831666703109,57.752951968679774
28,ExtraTrees,winsorize_1_99,0.8118315519246522,0.6913621140170249,88.01693147101246,43.51683333333335
28,KNN,none,0.7748191885311299,0.6111455612245331,98.79503883960388,46.80268115942029
28,MLP,winsorize_1_99,0.836389454377421,0.8216941804740908,66.89972997378159,35.8282860206404
29,Ridge,winsorize_1_99,0.8188712917517122,0.5846262748712041,102.10831666703109,57.752951968679774
29,ExtraTrees,winsorize_1_99,0.831066623603007,0.7216241676955192,83.59058607016308,41.087539130434806
29,KNN,none,0.7768725889354381,0.6111455612245331,98.79503883960388,46.80268115942029
29,MLP,winsorize_1_99,0.8572967576650118,0.8346833263002373,64.4169169225161,34.57286230130899
