Seed,Model,Outlier_Mode,CV_R2_Mean,Test_R2,Test_RMSE,Test_MAE
0,Ridge,winsorize_1_99,0.708192872445893,0.7984930212693606,72.2076094068232,43.76565207500572
0,ExtraTrees,winsorize_1_99,0.6175121726826267,0.7682153741086406,77.44265510613062,30.533438181818177
0,KNN,none,0.6747726507393368,0.8816151743181271,55.34596201481598,24.58010909090909
0,MLP,winsorize_1_99,0.7730329419801094,0.8121519530925194,69.7174129644809,36.993437862304134
1,Ridge,winsorize_1_99,0.8888132915414267,0.5992002383114128,169.11890078662927,68.98967718293785
1,ExtraTrees,winsorize_1_99,0.9124446222368807,0.6901521832639526,148.69714841213522,49.95127818181819
1,KNN,none,0.8332196669576021,0.5422207339012081,180.74091608749097,64.60258181818182
1,MLP,winsorize_1_99,0.8965397325168143,0.6344318459167981,161.5149018378206,65.95259971013323
2,Ridge,winsorize_1_99,0.8282576063020999,0.8451900069424887,57.486379540855076,37.73222156769635
2,ExtraTrees,winsorize_1_99,0.7885561161417988,0.6943878261727494,80.77013101274603,36.67296545454541
2,KNN,none,0.8193562786003991,0.7305741623702255,75.83768775771294,36.97698181818182
2,MLP,winsorize_1_99,0.8344583491987523,0.8604557117527559,54.57848732177682,33.1751682139759
3,Ridge,winsorize_1_99,0.850285877765413,0.8822975815737153,57.80380790423957,33.76063982916694
3,ExtraTrees,winsorize_1_99,0.8712072009677865,0.9245020955087174,46.29469260139081,22.964630909090907
3,KNN,none,0.7951749537278827,0.8603358567761055,62.96601618593377,31.853890909090907
3,MLP,winsorize_1_99,0.8685802866521328,0.8917719551429322,55.428568470917384,32.07642236424095
4,Ridge,winsorize_1_99,0.5326087943331597,0.840618256390717,146.7058743358764,67.16235082034655
4,ExtraTrees,winsorize_1_99,0.4933416076562279,0.8803099427350168,127.13269535100645,44.75000545454546
4,KNN,none,0.5562452424973742,0.8523554900503054,141.2007061236529,46.631672727272736
4,MLP,winsorize_1_99,0.6081884317212475,0.8972172447527207,117.81167887123256,53.95906310641244
5,Ridge,winsorize_1_99,0.7614656983769177,0.7187770915412683,147.61395372583522,59.57266208137974
5,ExtraTrees,winsorize_1_99,0.7670841780384945,0.7484192278772787,139.61779913761984,44.94427272727276
5,KNN,none,0.7522276747242206,0.7143492570408077,148.77150069846286,49.97578181818182
5,MLP,winsorize_1_99,0.8072711871254754,0.7637795480779881,135.2884786024584,54.61470388752199
6,Ridge,winsorize_1_99,0.5719890936835863,0.9472963138451953,66.05830654984554,38.840483668442296
6,ExtraTrees,winsorize_1_99,0.5031082007079963,0.8675913961701798,104.7044267750681,42.097389090909054
6,KNN,none,0.5047732327508166,0.812943037059419,124.44970739291361,42.1830909090909
6,MLP,winsorize_1_99,0.6656065207937085,0.9499731493376327,64.3588865938707,34.17808147599252
7,Ridge,winsorize_1_99,0.7802268031820445,0.9151592839604421,52.59914356322648,34.727977539336344
7,ExtraTrees,winsorize_1_99,0.8237210774110546,0.8920658802085016,59.32747805602388,28.57177090909089
7,KNN,none,0.7646738112046322,0.8796732644250531,62.640840675886686,32.69876363636363
7,MLP,winsorize_1_99,0.8043899644840188,0.9064274049247832,55.239640980292926,33.5715348427365
8,Ridge,winsorize_1_99,0.7424404168767659,0.9455489745473178,71.54152912480805,33.989685854908664
8,ExtraTrees,winsorize_1_99,0.8125845054590337,0.9241095340956301,84.45955647966107,34.97883272727267
8,KNN,none,0.7196120317661132,0.8372885531073948,123.66996574049227,45.228181818181824
8,MLP,winsorize_1_99,0.7852068243406887,0.9532635152373005,66.28010825928597,35.579066582256836
9,Ridge,winsorize_1_99,0.8467255193662521,0.7825336531756802,167.69390804084628,60.1253473509933
9,ExtraTrees,winsorize_1_99,0.8324379658924626,0.8038625257885437,159.25810567007883,50.97846363636362
9,KNN,none,0.8121573836711686,0.6619906271438064,209.0670677270813,67.83083636363637
9,MLP,winsorize_1_99,0.8432181212394928,0.8013977668587005,160.2556390025567,58.94559503141683
10,Ridge,winsorize_1_99,0.7688057802302948,0.9199278932923572,81.70574870667348,48.47771134865783
10,ExtraTrees,winsorize_1_99,0.7014189411855469,0.9238147387874109,79.69800805957783,37.62280545454542
10,KNN,none,0.7662966801809525,0.8876871036205846,96.76689370572225,41.403600000000004
10,MLP,winsorize_1_99,0.7816858757011793,0.9136543018157675,84.84618883824379,47.67225388457953
11,Ridge,winsorize_1_99,0.3746619099959809,0.9258861005151076,68.43025514245903,39.186912380031586
11,ExtraTrees,winsorize_1_99,0.31225783182523925,0.9214242424428134,70.45999622525336,30.4250309090909
11,KNN,none,0.5483820458523592,0.5752139560497669,163.8262337016655,51.86538181818182
11,MLP,winsorize_1_99,0.580421217299747,0.9298902595869258,66.55604500464008,35.88071296041266
12,Ridge,winsorize_1_99,0.802014756872692,0.7677815699796493,88.98819755390379,46.00040349241863
12,ExtraTrees,winsorize_1_99,0.783498637905532,0.9036257643592486,57.32770305800594,22.353210909090894
12,KNN,none,0.6973308838373515,0.9076751022060789,56.110415639814384,27.277963636363637
12,MLP,winsorize_1_99,0.8318691695061112,0.8301872831339326,76.09728691128112,39.375872305857705
13,Ridge,winsorize_1_99,0.6679079272200308,0.9545665563475478,57.0831201357939,35.581995841471894
13,ExtraTrees,winsorize_1_99,0.607328212665851,0.8777933888902261,93.61969589087538,34.729410909090895
13,KNN,none,0.690143404507557,0.8047831776649959,118.32554002058745,38.09203636363637
13,MLP,winsorize_1_99,0.7473211537336384,0.9485354660684325,60.75386301859797,37.22653866480973
14,Ridge,winsorize_1_99,0.6664892459011842,0.9431521393914674,62.32423079338913,38.94530627830041
14,ExtraTrees,winsorize_1_99,0.6596201652967866,0.8916966753857157,86.02422302699065,35.19057818181814
14,KNN,none,0.7412056052672377,0.8755718618234576,92.20599653266491,35.21603636363636
14,MLP,winsorize_1_99,0.6708363708670286,0.9572288186419634,54.05993104686461,28.904383322603
15,Ridge,winsorize_1_99,0.7717822044870333,0.9283995600205168,80.844912612028,43.796131338835075
15,ExtraTrees,winsorize_1_99,0.7524056198451691,0.8934963870658457,98.60002402026731,39.64197272727273
15,KNN,none,0.7207189686510824,0.8708194878809694,108.59087969806674,41.62778181818182
15,MLP,winsorize_1_99,0.7727347470172201,0.9508048006363078,67.01256058357686,35.37165235522296
16,Ridge,winsorize_1_99,0.8026551258524606,0.771674647988569,133.03844089594233,59.00205601624753
16,ExtraTrees,winsorize_1_99,0.7904060588924515,0.7074966086318459,150.57938935418886,43.47985454545455
16,KNN,none,0.8037839355433698,0.7506714358620117,139.02282096744207,46.617127272727274
16,MLP,winsorize_1_99,0.8401859952027971,0.8415667205213323,110.8213113060145,49.25099021929002
17,Ridge,winsorize_1_99,0.828561702847025,0.6978402915794732,144.52521283776045,49.2595810432105
17,ExtraTrees,winsorize_1_99,0.8580824314193489,0.6852040530843067,147.51626481075473,37.94605454545451
17,KNN,none,0.7898421770196663,0.7481643452142567,131.94226948507716,40.47552727272726
17,MLP,winsorize_1_99,0.8150108613592402,0.7639266632318671,127.74644128330473,45.341308553352505
18,Ridge,winsorize_1_99,0.8023889937179465,0.9119004151403037,47.51891578157267,32.33212387478024
18,ExtraTrees,winsorize_1_99,0.8077443157894164,0.807496674017924,70.24229792061045,29.110987272727247
18,KNN,none,0.7358321750826463,0.9033576577551236,49.769504334938425,26.86290909090909
18,MLP,winsorize_1_99,0.837000348321386,0.9191089792011926,45.53336535061826,30.084857684571613
19,Ridge,winsorize_1_99,0.7312189225571406,0.895915806534051,94.25154914034027,41.024431555814225
19,ExtraTrees,winsorize_1_99,0.7626977554674218,0.9428650942293088,69.83077535628931,29.99651454545453
19,KNN,none,0.7528878524511043,0.6522484287992234,172.27833146035408,52.0832
19,MLP,winsorize_1_99,0.7671228681798741,0.896015012612614,94.20662130179973,41.420976126088156
20,Ridge,winsorize_1_99,0.7091313065347205,0.7820574139421186,89.83501144372035,47.05464364064151
