Seed,Model,Outlier_Mode,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE,N_Train,N_Test
0,Ridge,winsorize_1_99,0.7792770717156984,0.07077057548238226,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
0,ExtraTrees,winsorize_1_99,0.8279191658066217,0.11085982037700924,0.727917048496194,82.64037342498565,40.318804057970816,273,69
0,KNN,none,0.8189771455616908,0.06629852775609134,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
0,MLP,winsorize_1_99,0.8094782132674817,0.07870918721849098,0.7973394163094786,71.32244954884057,37.85321638370198,273,69
1,Ridge,winsorize_1_99,0.6341533272743382,0.4515080495295747,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
1,ExtraTrees,winsorize_1_99,0.5411101601543813,0.6748898229033007,0.7072785534142436,85.71737785630444,42.023452463767946,273,69
1,KNN,none,0.751054603823694,0.21287434720591086,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
1,MLP,winsorize_1_99,0.7583089838077983,0.22928116529793055,0.7693580462569103,76.08705241829459,39.2372798326319,273,69
