Model,Feature_Set,Features,Seeds,CV_R2_Mean_Median,CV_R2_Mean_Mean,CV_R2_Mean_Std,Test_R2_Median,Test_R2_Mean,Test_R2_Std,Test_RMSE_Median,Test_RMSE_Mean,Test_RMSE_Std,Test_MAE_Median,Test_MAE_Mean,Test_MAE_Std,Test_R2_P2_5,Test_R2_P97_5
LinearRegression,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",30,0.8107944486764854,0.7524016846455991,0.17876146143442173,0.8177547998606245,0.7856336919306851,0.1363745185408822,82.01368325396581,107.35452003406704,51.857401866390234,44.92102878644877,46.44781221760123,13.058383944390313,0.4995147501871696,0.9412881795417248
RandomForest,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",30,0.7086401962578475,0.6008015966642983,0.35494181251276424,0.8101748997858299,0.7266568222236686,0.30906974306122975,102.32402645898085,115.15135020421957,55.61821578648754,37.917198909090885,42.61436987878786,15.814209438048298,-0.08307250947439761,0.918806225984872
ExtraTrees,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",30,0.7738225978360793,0.7011605722901223,0.2324346845373691,0.8091698179466287,0.7640849946258977,0.17004125875604417,100.33321520364967,111.31737245522308,50.23638593108555,38.92132727272722,41.780855139393886,15.15350513688271,0.3898905045000134,0.9478671187247998
KNN,All_features,"pH, Fe, Mn, Al, SO4",30,0.7618198874692413,0.7169774914710999,0.16897221922256497,0.8054891547992357,0.7591582966120508,0.15625884795948397,112.83343240652064,116.11556134183242,57.435756398305934,41.83898040434891,43.336296988698464,16.60980748783484,0.43854142788583184,0.9229514607730215
ExtraTrees,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",30,0.751831736942746,0.6675283834740154,0.2736543140746912,0.8017235970623494,0.7520074600508614,0.18334944503821043,100.97074507694435,114.00972347471647,50.97559917850414,42.17748454545442,42.167814084848445,15.172954526573182,0.3291076234009009,0.9375405295241921
GradientBoosting,All_features,"pH, Fe, Mn, Al, SO4",30,0.6071873014598446,0.4020869036053844,0.6372856353056205,0.795805789121903,0.6537932201098001,0.4634304126539797,127.84002268292245,123.97999946844497,63.70958271552622,41.450933700113325,44.162486232214555,17.783746085474192,-0.6570368926683592,0.9256799651456111
BayesianRidge,All_features,"pH, Fe, Mn, Al, SO4",30,0.8022289277186077,0.72699414433296,0.21269771513157842,0.7945902853938009,0.7697874638490244,0.1476531008383953,94.3786542800571,110.48840690070882,53.217441414479225,44.77693959192558,47.95476344894499,14.560196803324862,0.4366450335257902,0.9374976054913009
ElasticNet,All_features,"pH, Fe, Mn, Al, SO4",30,0.8015122994785981,0.7266244822443174,0.21326278102714538,0.7937506529792842,0.7697809078956261,0.1473523349327518,94.37697722694915,110.4933815167517,53.162365813067126,44.81268137467267,47.94753855216713,14.527005275637794,0.4382192366567526,0.9376210722439737
LinearRegression,All_features,"pH, Fe, Mn, Al, SO4",30,0.8003944466090283,0.7236302983690507,0.21702449450160183,0.793419837317623,0.7682411603551199,0.1487318089998115,94.58964741397543,110.73287442995068,53.123120143184245,44.88806166409227,48.080630098349225,14.604652912951133,0.43066401927809705,0.9379164484383173
Ridge,All_features,"pH, Fe, Mn, Al, SO4",30,0.8016438055815449,0.7270075302092069,0.2127706035460098,0.7932319880282087,0.7696333711020962,0.1474731593944713,94.40116104739835,110.51694384864699,53.15829951000295,44.8196245845514,47.96119820363147,14.53340323376626,0.4375292584498919,0.9376436514716768
KNN,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",30,0.7670140360841742,0.7112240792603441,0.17883431882443723,0.7888430038498101,0.7578834236734824,0.1516982116349641,110.16001308677966,116.12883987207049,55.9590240635638,43.22932080265264,43.65907063381102,16.215231165297595,0.44221216409662184,0.9165890165815411
GradientBoosting,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",30,0.5814044888180534,0.3609339626211688,0.6857487883528354,0.7813881028021799,0.6156510124133876,0.5120407170457669,124.0083673259264,130.72819948826267,64.89143025470995,44.56521751587453,46.446094086902114,17.42441364147328,-0.8369251458604907,0.9245529313278215
KNN,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",30,0.7523108022405486,0.7058349411573697,0.18423582234830999,0.7769178451791395,0.75351506468085,0.15487384024082484,118.789251287039,117.40002357919784,56.474261074240054,42.414524785768336,44.684227509863334,16.621948910683557,0.3990581831053527,0.9175380360779272
GradientBoosting,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",30,0.6655459626307726,0.47001344906619824,0.49249450085816004,0.7684249631775317,0.6517850402233258,0.44218530307235826,105.05574125345245,124.70645209986006,63.06335166840516,40.97934130784909,44.75904644895281,17.39630920544085,-0.6005765091363785,0.9476106203560518
ExtraTrees,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",30,0.5406749090942031,0.460262915365402,0.3117491920413328,0.7327808935340053,0.652344476691907,0.28845798264385153,122.25531647758228,128.2181155995667,53.827395618919745,52.02738472727276,56.511747927272765,19.040306945023673,-0.07863204199963417,0.9385161151431853
LinearRegression,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",30,0.5570244087992366,0.43563855646256855,0.4482811029338388,0.7084264691309641,0.590086614947824,0.2909472340077753,134.74398767903676,138.94403567245732,44.69225795047623,67.46105427101998,71.4940297839507,16.43827488072199,-0.15349412364149428,0.8724546250878893
Ridge,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",30,0.5605701425457303,0.43992989660785625,0.44329807030877794,0.7065600754675019,0.5916050299620486,0.28721151146076995,134.62235623762396,138.8709966831712,44.677851031561985,67.33039813963839,71.4258622930764,16.447080927779165,-0.13986897484757135,0.8723039869370279
ElasticNet,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",30,0.5601598620637598,0.43944065126290993,0.44387000753382816,0.7063823420869001,0.5917617737398427,0.2868414620203646,134.6057083892395,138.86234631461727,44.67607398351485,67.31579643918158,71.41832693549219,16.448700627908153,-0.13854587780446803,0.8722911655358684
BayesianRidge,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",30,0.5602856408670911,0.4389280193627801,0.4445091549753542,0.7058488340561204,0.5914194748775622,0.28735313679466223,134.5694578336009,138.92882707506473,44.79931087436722,67.28603667937594,71.43360140532101,16.496330211929376,-0.14297178996293006,0.8722042352597872
RandomForest,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",30,0.5120463797189528,0.3673303520828509,0.4799950097947855,0.7052629940101816,0.5713814168057972,0.4259132077768862,134.13249448653372,141.64726655776573,56.91652068861526,59.57362272727265,60.123288375757596,19.137079750949844,-0.5163588794865234,0.8494069422191022
KNN,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",30,0.6353604486560605,0.5620700443666427,0.22020312616452123,0.6700590394341022,0.6622769364134636,0.2002114399802122,126.43417754430678,133.5470399404054,54.08701159825687,50.65993626860862,56.61650936856744,19.36949152623192,0.1965135645602667,0.9176057516551887
GradientBoosting,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",30,0.3795208562913567,0.17035947308842958,0.6829919571865227,0.6566455369100953,0.48668873007104874,0.5031831863827589,149.54207360269749,153.82247861775326,67.04957880565551,60.0611567785884,61.44279912155245,19.722556298790778,-0.7924366814831496,0.8850075176711883
ExtraTrees,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",30,0.6508121134683523,0.639118454607137,0.1257372462781252,0.6515403521255471,0.5552045209991073,0.43996301295051066,126.61596278289224,147.3243975785549,59.97259149896275,54.967747272727316,56.4624612121212,18.112041222834975,-0.3383370571887867,0.8650469538716117
