Model,Feature_Set,Features,Seeds,CV_R2_Mean_Median,CV_R2_Mean_Mean,CV_R2_Mean_Std,Test_R2_Median,Test_R2_Mean,Test_R2_Std,Test_RMSE_Median,Test_RMSE_Mean,Test_RMSE_Std,Test_MAE_Median,Test_MAE_Mean,Test_MAE_Std,Test_R2_P2_5,Test_R2_P97_5
BayesianRidge,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",2,0.7541132021403963,0.7541132021403963,0.00121709928245501,0.9244820862757863,0.9244820862757863,0.02188515752516812,71.31761197914844,71.31761197914844,9.926349849627446,42.05782338012759,42.05782338012759,7.114801941214669,0.9097807001470732,0.9391834724044994
ElasticNet,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",2,0.7539453806822909,0.7539453806822909,0.0010947391820112112,0.9244193380147852,0.9244193380147852,0.022091665518509402,71.34021735270704,71.34021735270704,10.021398568455965,42.068261700313876,42.068261700313876,7.129619495679583,0.9095792298437342,0.939259446185836
Ridge,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",2,0.7541866621958635,0.7541866621958635,0.0011725731511790902,0.9243731680158717,0.9243731680158717,0.022208345832388697,71.35813434200281,71.35813434200281,10.074274459190693,42.07568233814919,42.07568233814919,7.138534648165783,0.9094546796757045,0.9392916563560388
LinearRegression,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",2,0.7522160319205554,0.7522160319205554,0.0006389765213242635,0.9238764776338921,0.9238764776338921,0.023465595294054505,71.549392895983,71.549392895983,10.642614189699566,42.14748485271472,42.14748485271472,7.235163254797886,0.9081134301547374,0.9396395251130469
ExtraTrees,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",2,0.6860813925411815,0.6860813925411815,0.06253893735883354,0.9236822354077701,0.9236822354077701,0.050715176762058715,70.06086970550008,70.06086970550008,25.21055134070453,28.22399581818172,28.22399581818172,1.6049788868396284,0.8896142422801203,0.9577502285354199
RandomForest,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",2,0.6259794072984437,0.6259794072984437,0.036063762219807505,0.9210607192898639,0.9210607192898639,0.0697034545920779,69.34104233068894,69.34104233068894,34.82201829980913,27.17122527272728,27.17122527272728,2.3410698464220556,0.8742373231463864,0.9678841154333414
RandomForest,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",2,0.5923495515441263,0.5923495515441263,0.002968121764124925,0.9203082434310633,0.9203082434310633,0.07216846721635403,69.41937029428416,69.41937029428416,35.99809247868658,27.248094181818146,27.248094181818146,4.816090915915204,0.8718289715023665,0.9687875153597602
RandomForest,All_features,"pH, Fe, Mn, Al, SO4",2,0.6002941800858386,0.6002941800858386,0.005425985217333925,0.9122869450403639,0.9122869450403639,0.08266211780688636,72.37224455145744,72.37224455145744,39.52539943376612,27.35838509090908,27.35838509090908,3.2595930699020177,0.8567585481942979,0.9678153418864299
ExtraTrees,All_features,"pH, Fe, Mn, Al, SO4",2,0.7137621773953702,0.7137621773953702,0.016373695037220474,0.9093598532456785,0.9093598532456785,0.077604494892728,74.60522719534052,74.60522719534052,36.052064971208985,28.43993090909083,28.43993090909083,2.865616827360863,0.8572289218859339,0.961490784605423
KNN,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",2,0.7784981009619849,0.7784981009619849,0.02853367880880411,0.9006089129474543,0.9006089129474543,0.05062448123738272,80.98491081780219,80.98491081780219,21.9143351816796,31.494345148139733,31.494345148139733,1.6272468861758405,0.8666018446693,0.9346159812256085
KNN,All_features,"pH, Fe, Mn, Al, SO4",2,0.7845019459068343,0.7845019459068343,0.036840918213552225,0.8972408808001944,0.8972408808001944,0.08427310940270093,79.84321146921609,79.84321146921609,36.608814449793336,31.815749011437166,31.815749011437166,6.039988127015107,0.840630298026385,0.9538514635740036
KNN,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",2,0.7448289949109737,0.7448289949109737,0.016523952802479973,0.8918461000729367,0.8918461000729367,0.08792667011052216,81.9911977976438,81.9911977976438,37.20103413970355,33.39850013473352,33.39850013473352,7.923734052815576,0.8327812326247491,0.9509109675211244
GradientBoosting,All_features,"pH, Fe, Mn, Al, SO4",2,0.3586353219389513,0.3586353219389513,0.012516474361455622,0.8842653590205569,0.8842653590205569,0.1292912776394382,79.96215016271614,79.96215016271614,55.81911148415709,28.674404449661985,28.674404449661985,7.7008560547131735,0.7974137568117935,0.9711169612293203
GradientBoosting,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",2,0.260288029023205,0.260288029023205,0.026533251304705546,0.8609670476491433,0.8609670476491433,0.1543599000856455,87.80872991872306,87.80872991872306,60.691790934705615,31.11051472564176,31.11051472564176,11.345055952765918,0.7572755621599974,0.9646585331382892
ExtraTrees,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",2,0.7057531494586258,0.7057531494586258,0.0077323647656438,0.8224209937359572,0.8224209937359572,0.0009677196246634486,110.00721224672216,110.00721224672216,1.1076430881318255,47.9636981818181,47.9636981818181,0.005081397894535458,0.8217709266825147,0.8230710607893996
ExtraTrees,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",2,0.49905842234884645,0.49905842234884645,0.05610765974369459,0.8021686493580331,0.8021686493580331,0.09810665978755875,114.35932138798819,114.35932138798819,30.09736053083863,53.363348363636305,53.363348363636305,1.400090968609464,0.7362653591634559,0.8680719395526103
RandomForest,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",2,0.6444300504831746,0.6444300504831746,0.0022202024170424927,0.7980367423150828,0.7980367423150828,0.07736499573862692,116.13131676652125,116.13131676652125,21.829340340930507,46.059148363636325,46.059148363636325,4.855956824849202,0.746066694857494,0.8500067897726716
KNN,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",2,0.6508005779381814,0.6508005779381814,0.033172544294387346,0.7973837743308252,0.7973837743308252,0.020186016726087254,117.41118144337993,117.41118144337993,4.994556424067355,50.22558499520715,50.22558499520715,7.656021818182359,0.7838237884842718,0.8109437601773785
KNN,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",2,0.6550197215917195,0.6550197215917195,0.07597361917133841,0.7963652739198607,0.7963652739198607,0.13897942523019735,114.23806228688215,114.23806228688215,42.34599054781358,48.55484609955882,48.55484609955882,9.191140595985859,0.7030056445954634,0.8897249032442579
BayesianRidge,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",2,0.6257993558994386,0.6257993558994386,0.05655881157169833,0.7951877344540168,0.7951877344540168,0.01669356562522943,118.07397695067738,118.07397695067738,3.9493487541191743,60.05366646523207,60.05366646523207,2.480167375337461,0.7839738076710234,0.8064016612370101
ElasticNet,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",2,0.6251889188375349,0.6251889188375349,0.059041128819841956,0.7944171140202207,0.7944171140202207,0.016967490485043,118.29442694249232,118.29442694249232,4.017631348763218,60.0004817367895,60.0004817367895,2.4231864970404997,0.7830191778176131,0.8058150502228283
Ridge,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",2,0.625330762814039,0.625330762814039,0.05885288211276468,0.7943421517153235,0.7943421517153235,0.016983236507522353,118.3159249811763,118.3159249811763,4.021118998362065,59.999940110582635,59.999940110582635,2.417320357776011,0.7829336380994077,0.8057506653312393
LinearRegression,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",2,0.6241002447692874,0.6241002447692874,0.06035070349781871,0.7936024129301754,0.7936024129301754,0.01728717349267093,118.52681120264779,118.52681120264779,4.0982169949935,59.956492748085935,59.956492748085935,2.3535593244677577,0.7819897292061703,0.8052150966541806
LinearRegression,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",2,0.5917619646433683,0.5917619646433683,0.08744356805913453,0.7869809984073743,0.7869809984073743,0.06864425044957567,119.7612018376382,119.7612018376382,20.420699893961924,71.58505499060195,71.58505499060195,2.7548755162295544,0.7408691241741298,0.8330928726406189
Ridge,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",2,0.5934475290028063,0.5934475290028063,0.08772856973780971,0.7865149536818964,0.7865149536818964,0.07045658127435095,119.85428477454602,119.85428477454602,20.92202616992818,71.48315183587407,71.48315183587407,2.745189811645433,0.7391856436034975,0.8338442637602953
ElasticNet,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",2,0.5932610611477606,0.5932610611477606,0.08768032401969247,0.7864646421624183,0.7864646421624183,0.07062588051859503,119.86487916256314,119.86487916256314,20.968513979292336,71.47201391967154,71.47201391967154,2.746869679202544,0.7390216050725473,0.8339076792522893
BayesianRidge,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",2,0.59237998213754,0.59237998213754,0.0869897781687486,0.786401417669698,0.786401417669698,0.07127747443632002,119.86796401662494,119.86796401662494,21.153463163209427,71.43186836210609,71.43186836210609,2.7238465837748493,0.7385206714259139,0.834282163913482
GradientBoosting,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",2,0.6211838327892103,0.6211838327892103,0.05703462654872272,0.779308272028906,0.779308272028906,0.24036066804372258,110.70839124251617,110.70839124251617,72.98127651671768,46.54027953043587,46.54027953043587,19.945149508585583,0.6178456466398732,0.9407708974179386
RandomForest,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",2,0.41922539867658604,0.41922539867658604,0.10115425545421794,0.7590261114109573,0.7590261114109573,0.10001502446136644,126.82667173604165,126.82667173604165,27.821684047800666,59.74043072727267,59.74043072727267,0.1642866182434487,0.6918408744946453,0.8262113483272694
GradientBoosting,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",2,0.23614314608215942,0.23614314608215942,0.040492788103324635,0.7588282967534199,0.7588282967534199,0.09447126834227737,127.03204163608098,127.03204163608098,26.290466870533844,54.214701665086736,54.214701665086736,0.21438470066756185,0.6953670860049075,0.8222895075019322
HistGradientBoosting,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",2,0.5905305821041842,0.5905305821041842,0.015129658716802014,0.6675403642581046,0.6675403642581046,0.132708955719749,148.86958996682029,148.86958996682029,29.257547600987607,69.44917973533308,69.44917973533308,12.664803927089748,0.5783929318701658,0.7566877966460434
HistGradientBoosting,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",2,0.5355231914582487,0.5355231914582487,0.09299644002745108,0.6362824341680524,0.6362824341680524,0.03883306542846005,157.29271407115823,157.29271407115823,7.255083575030088,69.08229969081128,69.08229969081128,3.3303392701106427,0.6101962664642636,0.6623686018718411
HistGradientBoosting,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",2,0.6928520527417075,0.6928520527417075,0.018949908924078974,0.62802000644236,0.62802000644236,0.1853801034660988,156.49191382119153,156.49191382119153,39.17458556737467,70.51934918067792,70.51934918067792,18.109953385486588,0.5034906545973148,0.7525493582874051
HistGradientBoosting,All_features,"pH, Fe, Mn, Al, SO4",2,0.6689984382711875,0.6689984382711875,0.015817357209646596,0.6163979632773978,0.6163979632773978,0.1763435846503574,159.33364984848478,159.33364984848478,36.50689843541454,73.70043258354507,73.70043258354507,15.014508173455237,0.4979389059786367,0.734857020576159
HistGradientBoosting,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",2,0.5662018264701567,0.5662018264701567,0.07264370672498473,0.2908838084520401,0.2908838084520401,0.29522636125185436,217.20778374539006,217.20778374539006,44.6793238857246,100.54233746596469,100.54233746596469,23.294660746939755,0.09256507452713525,0.48920254237694494
SVR_RBF,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",2,0.18034477004725824,0.18034477004725824,0.00870207524141702,0.14503748872481803,0.14503748872481803,0.008095334481921235,241.3711509741377,241.3711509741377,0.6299367313916426,68.3342324630175,68.3342324630175,2.2098788644854634,0.13959943611208522,0.15047554133755084
SVR_RBF,All_features,"pH, Fe, Mn, Al, SO4",2,0.14951427136969497,0.14951427136969497,0.006998581618894075,0.10517145020826663,0.10517145020826663,0.01200886976728685,246.93129549794014,246.93129549794014,0.15652195431278534,71.006830108903,71.006830108903,3.6176842658438,0.09710447462377371,0.11323842579275954
SVR_RBF,Drop_Fe_keep_pH,"pH, Mn, Al, SO4",2,0.14707901139152424,0.14707901139152424,0.020615881090977343,0.10127780674210535,0.10127780674210535,0.0010504126233283324,247.4762766728901,247.4762766728901,1.6728845013582605,71.17958749610898,71.17958749610898,3.4174989365819552,0.10057219054755591,0.10198342293665479
SVR_RBF,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",2,0.10171019383325722,0.10171019383325722,0.018609960726095116,0.09306425294329929,0.09306425294329929,0.041658871611357125,248.5513571412676,248.5513571412676,3.8848701813027593,76.45795203454934,76.45795203454934,1.6680954907831347,0.06507984586097743,0.12104866002562115
SVR_RBF,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",2,0.13221996090656105,0.13221996090656105,0.0073161686969477465,0.08400328157509046,0.08400328157509046,0.00684048820729884,249.83961361874887,249.83961361874887,0.9019895265885729,71.17355231505377,71.17355231505377,4.3306652840701645,0.07940817375698322,0.0885983893931977
