Seed,Model,Feature_Set,Features,N_Train,N_Test,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE
40,ExtraTrees,Drop_Mn_keep_pH,"pH, Fe, Al, SO4",218,55,0.7002855418982311,0.21456572972002522,0.823105274844844,109.22399030796973,47.960105090908975
40,LinearRegression,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.5299300246976069,0.36360182077356257,0.835519813389737,105.32158646604232,73.53304614945264
40,Ridge,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.5314140624374042,0.3599918940763724,0.8363352800802111,105.06017819362738,73.42429416733277
40,ElasticNet,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.5312617094568023,0.3604059342736902,0.8364046812043877,105.0379007364006,73.41434409687137
40,BayesianRidge,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.5308689201005042,0.36003019312524637,0.8368022031894706,104.9102067683397,73.35791875240508
40,SVR_RBF,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.11486942326029441,0.12747259053672133,0.06360698233032891,251.29837519049622,75.27843040134988
40,KNN,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.6012982602843818,0.12235646811225534,0.894638567945542,84.29492521446173,42.055728257298256
40,GradientBoosting,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.2075104210251486,0.4406244755055891,0.8256295712255382,108.44187423136621,54.36629454071142
40,HistGradientBoosting,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.5148349688343933,0.29518288984095703,0.08212724642582447,248.800836643816,117.01415004556587
40,RandomForest,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.3476985386990322,0.3506270935044573,0.829747413428128,107.1537702818122,59.85659890909082
40,ExtraTrees,Drop_Al_keep_pH,"pH, Fe, Mn, SO4",218,55,0.45938431566757254,0.25849906212133245,0.8715405337733775,93.07727366081585,52.37333454545451
40,LinearRegression,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.751764207289308,0.18055062324217538,0.9072837960768871,79.07485755907173,47.26351785317404
40,Ridge,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.7533575277692275,0.1792955684003513,0.9086694960788536,78.481722127631,47.12338859560234
40,ElasticNet,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.7531712831830601,0.17944036324195645,0.908798171518942,78.4264162374354,47.10966399298872
40,BayesianRidge,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.7532525829843951,0.17962840097147276,0.9090069429824041,78.33660127025007,47.088748079559686
40,SVR_RBF,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.18649806646085976,0.14756774814750107,0.13931322281667824,240.92571843965217,66.771612132339
40,KNN,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.7583217431840806,0.12381193293455257,0.9364058269244587,65.48913580564161,30.3437078402601
40,GradientBoosting,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.24152618709872092,0.6821753230353319,0.9701159797429811,44.893152986436476,23.088348728500172
40,HistGradientBoosting,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.46976477808862993,0.23557377172017532,0.6088233102693273,162.42283286513717,71.43720517235838
40,RandomForest,Drop_SO4_keep_pH,"pH, Fe, Mn, Al",218,55,0.5902507725173262,0.2638476062362784,0.9713390559875863,43.96487499282443,23.842603636363577
