Seed,Model,Outlier_Mode,N_Train,N_Test,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE
0,RandomForest,none,218,55,0.7582597378348142,0.11697065693988813,0.14319279830589826,200.29677560259185,65.3183796363636
0,ExtraTrees,none,218,55,0.8331891363254096,0.05279190930562005,0.4986242373830684,153.21951091715664,57.565031636363614
0,KNN,none,218,55,0.8463886290612553,0.09583368041742318,0.5243855369668594,149.23130274722106,63.62808084983346
0,Ridge,none,218,55,0.8558389458580955,0.03801240051508391,0.4762599184882521,156.5994778544178,71.72787136375173
0,MLP,none,218,55,0.8570439521858052,0.04535590492011006,-0.121370722325856,229.14321935248756,104.80232585729806
0,RandomForest,iqr_remove,168,55,0.7717946570955041,0.041643059200565234,0.17263996947285698,196.8247335356353,83.92082763636354
0,ExtraTrees,iqr_remove,168,55,0.7874106347156637,0.054740964872345685,0.1711630419456902,197.00033196981326,84.21966181818175
0,KNN,iqr_remove,168,55,0.7284214167932737,0.06695967473067281,0.05034065671795629,210.87074221347035,92.98248295749535
0,Ridge,iqr_remove,168,55,0.6733731031490497,0.06168452498395949,0.406505112133016,166.70203257975538,78.05563212755877
0,MLP,iqr_remove,168,55,0.6918755703390531,0.07395937396560326,0.692360426048189,120.01996742298505,54.17847317654504
0,RandomForest,winsorize_1_99,218,55,0.7600213740836307,0.11582867763480925,0.06709022797178699,209.00285807813995,66.56224836363634
0,ExtraTrees,winsorize_1_99,218,55,0.8184214986193842,0.041468363970995306,0.316279232039854,178.92531473057727,62.242720363636316
0,KNN,winsorize_1_99,218,55,0.8450650696878343,0.07870322877479032,0.5323550247685402,147.9757466775041,64.80741337858952
0,Ridge,winsorize_1_99,218,55,0.8487250825421381,0.038985412507765056,0.5256179624217465,149.0378311778611,66.87589284600963
0,MLP,winsorize_1_99,218,55,0.8611476967452466,0.04491692020227962,0.4347182935899858,162.6915023050961,85.22999681475648
1,RandomForest,none,218,55,0.7900176773387061,0.18590189943823518,0.7649495977727441,138.2088882124772,45.049754545454576
