Stratify_Col,Seed,Model,Outlier_Mode,Test_R2,Test_RMSE,Test_MAE,CV_R2_Mean
pH,4,ExtraTrees,winsorize_1_99,0.7865252997255947,157.52614437188376,57.2194069090908,0.5582873627949619
pH,4,KNN,winsorize_1_99,0.7192261630953183,180.65823190669454,53.40807648229129,0.6314764543417194
pH,4,Ridge,winsorize_1_99,0.8027250310796594,151.43122266343502,56.80371428187862,0.5394008120056637
pH,4,MLP,winsorize_1_99,0.36425408650241753,271.8449225004176,95.85335504107911,0.523301817565493
pH,5,RandomForest,none,-0.7207019154368648,204.38022133327783,55.86618109090912,0.8538160366298332
pH,5,ExtraTrees,none,0.1187715970137837,146.26158899378913,46.46641200000005,0.8842633336790637
pH,5,KNN,none,0.2122251403085772,138.28883009679086,44.092005615130894,0.8270733656357304
pH,5,Ridge,none,0.33542115471239664,127.01625406112184,49.4589091000433,0.8299107126911673
pH,5,MLP,none,0.6662793423439424,90.0072700160985,43.43908019742209,0.7140254447080236
pH,5,RandomForest,winsorize_1_99,-0.8133896959450979,209.8126243009326,56.6111916363637,0.8482452220057107
pH,5,ExtraTrees,winsorize_1_99,-0.2192828353469265,172.04350195337187,51.4678501818182,0.8934771159212287
pH,5,KNN,winsorize_1_99,0.25764867719019424,134.24273368338325,44.781863483072144,0.8215909917848808
pH,5,Ridge,winsorize_1_99,0.079649932853881,149.47293705273148,64.77309492507133,0.8653283767479518
pH,5,MLP,winsorize_1_99,0.6312105765001915,94.61832874427068,42.53232105824282,0.7115241512976987
pH,6,RandomForest,none,0.8701579564426848,65.04830164458511,25.59046872727269,0.8071785764478789
pH,6,ExtraTrees,none,0.8207016073509144,76.43926264131855,31.737041818181694,0.8508284917156701
pH,6,KNN,none,0.8134741060983823,77.96467195731675,29.797351153261864,0.7603043542365866
pH,6,Ridge,none,0.6676337765325142,104.07267851470205,53.65225052833296,0.8072124841443037
pH,6,MLP,none,0.691108438908743,100.33011561223879,55.47347181017915,0.6082450000797706
pH,6,RandomForest,winsorize_1_99,0.8700616932213562,65.07241016413647,25.48631127272724,0.8179204228443838
pH,6,ExtraTrees,winsorize_1_99,0.8270730245024488,75.06883287523037,30.507134909090805,0.8671028837523158
pH,6,KNN,winsorize_1_99,0.7736268059517499,85.88964154326285,35.45055465657082,0.7353349291789494
pH,6,Ridge,winsorize_1_99,0.7707034103466877,86.44245423083345,47.26214950130568,0.8237851199943353
pH,6,MLP,winsorize_1_99,0.7689461959300641,86.77304793779776,44.3220470833444,0.675768162696522
pH,7,RandomForest,none,0.9136966123615613,58.2434222773027,24.50024909090912,0.7503269928964413
