Model,Outlier_Mode,Seeds,CV_R2_Mean_Median,CV_R2_Mean_Mean,CV_R2_Mean_Std,Test_R2_Median,Test_R2_Mean,Test_R2_Std,Test_RMSE_Median,Test_RMSE_Mean,Test_RMSE_Std,Test_MAE_Median,Test_MAE_Mean,Test_MAE_Std,Test_R2_P2_5,Test_R2_P97_5
MLP,winsorize_1_99,2,0.7838935985376401,0.7838935985376401,0.03618210913903262,0.7833487312831944,0.7833487312831944,0.019785816511061177,73.70475098356758,73.70475098356758,3.3690829986518227,38.54524810816694,38.54524810816694,0.9786806503307885,0.7700575805082245,0.7966398820581644
KNN,none,2,0.7850158746926924,0.7850158746926924,0.04802848985836379,0.7424961248448003,0.7424961248448003,0.0,80.39582393924678,80.39582393924678,0.0,41.362704274373044,41.362704274373044,0.0,0.7424961248448003,0.7424961248448003
ExtraTrees,winsorize_1_99,2,0.6845146629805015,0.6845146629805015,0.20280459280207,0.7175978009552189,0.7175978009552189,0.014593619825932358,84.17887564064505,84.17887564064505,2.1757706991265686,41.17112826086938,41.17112826086938,1.2053684472779882,0.7077945157912924,0.7274010861191452
Ridge,winsorize_1_99,2,0.7067151994950183,0.7067151994950183,0.10261798380566935,0.5846262748712039,0.5846262748712039,0.0,102.1083166670311,102.1083166670311,0.0,57.75295196867978,57.75295196867978,0.0,0.5846262748712039,0.5846262748712039
