Model,Outlier_Mode,Seeds,CV_R2_Mean_Median,Test_R2_Median,Test_R2_Mean,Test_R2_Std,Test_RMSE_Median,Test_MAE_Median,Test_R2_P2_5,Test_R2_P97_5
MLP,winsorize_1_99,30,0.7947983944123538,0.8966161286826673,0.8566099135356133,0.13125108790373968,72.90734993788101,37.47563560551636,0.5369654025193251,0.9543539736735828
Ridge,winsorize_1_99,30,0.7651357393036062,0.889465685889393,0.8299651988286366,0.16738077063482446,81.27533065935074,42.39504181540997,0.45489673364644817,0.9500590642228678
KNN,none,30,0.738518890174942,0.8373153805071757,0.7774504977210149,0.17123335368095516,117.65561758361983,40.93956363636363,0.40797756610815905,0.913162983887475
ExtraTrees,winsorize_1_99,30,0.7648909667529582,0.8790516658126215,0.807434942312425,0.23647233506124354,85.24188975332586,35.93177181818177,0.3954450835127327,0.9398938000906235
