Seed,Model,Outlier_Mode,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE,N_Train,N_Test
0,Ridge,winsorize_1_99,0.7792770717156984,0.07077057548238226,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
0,ExtraTrees,winsorize_1_99,0.8279191658066217,0.11085982037700924,0.7279170484961941,82.64037342498564,40.318804057970816,273,69
0,KNN,none,0.8189771455616908,0.06629852775609134,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
1,Ridge,winsorize_1_99,0.6341533272743382,0.4515080495295747,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
1,ExtraTrees,winsorize_1_99,0.5411101601543815,0.6748898229033002,0.7072785534142435,85.71737785630445,42.023452463767946,273,69
1,KNN,none,0.751054603823694,0.21287434720591086,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
2,Ridge,winsorize_1_99,0.7748427009203943,0.15048311735649772,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
2,ExtraTrees,winsorize_1_99,0.7503775675573857,0.23102777676429948,0.7381112494200477,81.07744005041727,40.49754289855056,273,69
2,KNN,none,0.7223836770343763,0.08096626769979853,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
3,Ridge,winsorize_1_99,0.8223996106488313,0.07959498267706491,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
3,ExtraTrees,winsorize_1_99,0.8525520864042238,0.0734685388910588,0.7410818291178632,80.61630173454678,40.045524637680955,273,69
3,KNN,none,0.8331282493217307,0.06058655091231269,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
4,Ridge,winsorize_1_99,0.8536198933797431,0.07173245674211706,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
4,ExtraTrees,winsorize_1_99,0.8455009116082655,0.06152968667368367,0.7127616981486031,84.91077037827235,42.12056608695635,273,69
4,KNN,none,0.8260761715544642,0.04802050288728591,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
5,Ridge,winsorize_1_99,0.8220555978846988,0.07835200324430948,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
5,ExtraTrees,winsorize_1_99,0.8404075120303627,0.07185324175321031,0.7071105222517762,85.74197653951788,42.608982898550536,273,69
5,KNN,none,0.8128517666456222,0.07342355538407447,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
6,Ridge,winsorize_1_99,0.8084284495545745,0.09328924189577369,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
6,ExtraTrees,winsorize_1_99,0.8074047292425105,0.13669091549361154,0.7323579323456881,81.96317892432488,41.15082405797085,273,69
6,KNN,none,0.7877683551693804,0.12727679197056613,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
7,Ridge,winsorize_1_99,0.7698546488006779,0.17179750075692607,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
7,ExtraTrees,winsorize_1_99,0.7244558380396369,0.2285793877970657,0.729126653360758,82.4564707846154,40.83462521739114,273,69
7,KNN,none,0.7466997538826934,0.05636054342327327,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
8,Ridge,winsorize_1_99,0.808897841121542,0.12939266847667058,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
8,ExtraTrees,winsorize_1_99,0.808959269649098,0.1378622488229847,0.7228312245302047,83.40916191242988,41.403105217391136,273,69
8,KNN,none,0.8118216704481572,0.09126663990966749,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
9,Ridge,winsorize_1_99,0.7410783903081841,0.23190323989808362,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
9,ExtraTrees,winsorize_1_99,0.6697314164943913,0.38582892651668815,0.7226876320056033,83.43076496150393,41.50027768115923,273,69
9,KNN,none,0.7553206251341307,0.2519979109579618,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
10,Ridge,winsorize_1_99,0.6982057299692097,0.3281324262389939,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
10,ExtraTrees,winsorize_1_99,0.6075803022922239,0.486775590676514,0.7380641217615564,81.08473478532554,40.48647275362301,273,69
10,KNN,none,0.7324311160563637,0.2504343731442843,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
11,Ridge,winsorize_1_99,0.7525546174254419,0.23497499743741995,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
11,ExtraTrees,winsorize_1_99,0.6762888447710862,0.3606305085534154,0.7256892328660896,82.9780134378385,41.1620884057969,273,69
11,KNN,none,0.7029156105134636,0.18950797894386345,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
12,Ridge,winsorize_1_99,0.7641558916663913,0.1763036154983569,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
12,ExtraTrees,winsorize_1_99,0.722372050048484,0.2947527671330772,0.7138179443664485,84.7545076489408,41.779581449275184,273,69
12,KNN,none,0.7634952228637072,0.09255390530732599,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
13,Ridge,winsorize_1_99,0.8165248978140056,0.08909099168581658,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
