Rank,Model,Outlier_Mode,Seeds,CV_R2_Mean_Median,CV_R2_Mean_Mean,CV_R2_Mean_Std,Test_R2_Median,Test_R2_Mean,Test_R2_Std,Test_RMSE_Median,Test_RMSE_Mean,Test_RMSE_Std,Test_MAE_Median,Test_MAE_Mean,Test_MAE_Std,Test_R2_P2_5,Test_R2_P97_5
1,KNN,none,30,0.8028123762898788,0.7816280021980828,0.0560274854325532,0.7424961248448003,0.7424961248448003,0.0,80.39582393924678,80.39582393924678,0.0,41.36270427437304,41.36270427437304,0.0,0.7424961248448003,0.7424961248448003
2,ExtraTrees,winsorize_1_99,30,0.7947214404871166,0.746385307985245,0.113430300362237,0.7229863760651634,0.7215690582847835,0.0117008124275871,83.38581028572926,83.58109044385553,1.7530297535524029,41.40759057970996,41.4463267246375,0.7452321380279312,0.7005905540064279,0.738928158836947
3,Ridge,winsorize_1_99,30,0.7934899916233245,0.7690665564450467,0.0786850642376072,0.5846262748712039,0.5846262748712039,0.0,102.1083166670311,102.1083166670311,0.0,57.75295196867978,57.75295196867978,0.0,0.5846262748712039,0.5846262748712039
