Feature_Set,Features,N_Total,N_Train,N_Test,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE
Drop_Fe_keep_pH,"pH, Mn, Al, SO4",273,218,55,0.7763852034033325,0.14412472740551063,0.7898026870896383,88.54517827464814,37.94169090909092
All_with_pH,"pH, Fe, Mn, Al, SO4",273,218,55,0.7613782366370463,0.12485704241855132,0.7151374203113432,103.07872503659026,41.05361018181824
Drop_SO4_keep_pH,"pH, Fe, Mn, Al",273,218,55,0.7576666030014809,0.1250155482751398,0.696700111156094,106.36223688390038,41.83246654545459
Drop_Mn_keep_pH,"pH, Fe, Al, SO4",273,218,55,0.6749050306549623,0.18086129049229221,0.658372872211487,112.88273196484352,43.86635090909084
Drop_Al_keep_pH,"pH, Fe, Mn, SO4",273,218,55,0.6396268730549243,0.20409091528803042,0.37668532454139303,152.47723671432277,65.40706545454553
