pH,Fe,Mn,Al,SO4,SHAP_pH,SHAP_Fe,SHAP_Mn,SHAP_Al,SHAP_SO4
3.12,115000.0,12000.0,6500.0,1600000.0,14.459872419667002,0.3759933290514953,-9.918121207273511,-3.5775651851722534,12.47950600234013
3.22,45000.0,9200.0,2800.0,550000.0,13.74658070283764,-1.5371842648129215,-21.29762727581658,-29.33903611707115,-1.7497536013516894
3.5,30000.0,3100.0,9600.0,600000.0,12.549226016261578,-2.7793941238870614,-50.835478215533215,20.72903267262253,-3.807984871562199
6.89,14000.0,2500.0,140.0,230000.0,-8.263001350846702,-1.345926671334073,-39.1171021094344,-48.6291330413803,-3.95603839593539
2.96,200000.0,2500.0,6800.0,880000.0,14.61700586648077,3.7314138062172058,-55.96707473071565,7.8064496071875515,0.2444949958958081
2.97,37000.0,1400.0,2800.0,590000.0,14.914019643248514,-1.549990641636759,-50.70951810832439,-21.567474785102064,0.2504341590064489
4.37,2500.0,2300.0,2200.0,215000.0,9.128221963732388,-1.389823984022199,-43.599079742960384,-26.68440001008322,-7.711181173618877
4.66,26000.0,2300.0,460.0,480000.0,7.590685665366173,-1.5747236356845673,-41.87293326430316,-46.843126301557774,-3.100764854716972
3.57,11000.0,1600.0,7600.0,350000.0,11.843067973124102,-1.8876919051460577,-55.99204024219037,10.652053703862075,-5.972169113113604
3.2,16000.0,5000.0,4300.0,410000.0,12.657908422918863,-1.60022939961449,-38.802201595861575,-20.710458974141712,-4.697112558553166
4.49,24000.0,3500.0,280.0,260000.0,8.680898877048438,-1.5785366410206845,-39.32319639976966,-51.01246107317539,-4.534632200013617
3.22,174000.0,4900.0,580.0,1100000.0,12.91792461094219,4.969568393332333,-42.267172296080716,-51.46544460059702,4.478052532631193
3.19,30000.0,1100.0,2000.0,500000.0,13.047142499134461,-2.1620663721582454,-48.86999873273706,-27.52905077294082,-2.1626037359377968
4.5,97.0,390.0,1800.0,39976.0,5.8621166452236535,-1.4477708821048278,-49.29469374743196,-32.27755259777602,-10.642945788614986
3.33,3100.0,6500.0,8300.0,250000.0,12.049926508650339,-1.7772409912887526,-36.04333739646924,13.880245377279525,-6.9135949254068665
2.84,49000.0,6100.0,5400.0,510000.0,14.095363681373275,-1.7357685059415597,-38.00699519664454,-10.095386536708702,-4.048801659797991
7.35,470.0,790.0,59.0,113000.0,-9.989671164562637,-1.4858544548922268,-42.50913054230733,-49.695135699325014,-4.529104422429024
6.2,23000.0,1100.0,230.0,400000.0,-5.127014771275894,-1.4753502289719806,-43.17684154866794,-47.35756675170041,-3.927217148501654
8.14,65000.0,1300.0,54.0,1300000.0,-12.72417507240902,0.3995191236262515,-43.636954398415725,-56.214961551329445,4.890796626500124
8.11,40000.0,1400.0,32.0,530000.0,-11.169671800037586,-1.1336851754287574,-42.12354820195827,-51.89281349975733,-2.8042675993700596
6.59,54000.0,1800.0,140.0,560000.0,-7.937798629407923,-0.5145328825599388,-42.132024413283425,-49.53244728956621,-2.521877416600611
7.2,61000.0,2100.0,85.0,700000.0,-10.274849064752194,0.11732544257769963,-41.74999339202011,-50.81122651957979,-2.0435506622057975
2.98,45000.0,7400.0,14000.0,760000.0,18.442913317940285,-5.575685233311562,-34.74272144946075,59.48568660476665,-3.75799098645597
7.92,86000.0,1600.0,140.0,790000.0,-11.893554558918186,1.107721186402595,-43.25628939771443,-49.28428453128885,-1.4961742597378236
