pH,Fe,Mn,Al,SO4,SHAP_pH,SHAP_Fe,SHAP_Mn,SHAP_Al,SHAP_SO4
-0.903823562344627,-0.46971789215358634,-0.45538191931234806,0.09098564070207404,-0.44157239198109594,16.942108697745887,11.584005334536116,-51.15612746178572,-7.096309474368734,-11.247383084323321
-0.8711970306181218,-0.47746460433238125,-0.45544814187694005,0.07391530556516715,-0.4274586864400381,15.110860075729295,11.63788094753014,-50.60060292742899,-8.375518371947473,-10.53203045609498
-0.9597547595900647,-0.4673022233492003,-0.4540361550112151,0.04882129442351055,-0.4219944377580773,20.025253534670252,11.379284751322633,-51.4669647613753,-9.571105981805507,-10.53858480277087
-0.8478923650991893,-0.46480993129700143,-0.45698496208281525,0.02575778727658088,-0.43929732319704023,13.338761621488096,11.10993594332517,-50.18784765350478,-11.438726130167012,-10.867185380451431
0.8486872846790876,-0.47629718169294666,-0.5017696840406547,-0.4029933672262041,-0.4353697948142384,-41.52936802028503,2.1500435097217037,-34.61650230219614,-28.585388686502736,-6.800194928143597
0.9465668798586037,-0.47750253411286,-0.5131652934027936,-0.44600751931919186,-0.427700905467207,-42.92585177338036,1.969421552281083,-34.37789156835531,-29.73190430399062,-6.478726126358666
0.8067388867450095,-0.47882994914847526,-0.48646694336759044,-0.427544343793578,-0.42640522946090514,-40.8331858729645,2.10223607618059,-34.602345034645154,-29.625178699919736,-6.670318853204705
0.8673310170942335,-0.47885553774937273,-0.5036802430880776,-0.2790571677186285,-0.4311348216800923,-43.03361279674026,2.420980984658701,-34.787522454062746,-23.99535029022536,-6.581117024319838
-1.1415311506377372,-0.3772349048548818,0.2088197470402723,0.6698289538769199,-0.046582311361699553,60.361968136490056,8.38345821190976,-3.2197867291369033,47.556926638703,4.278004284248027
-0.8711970306181218,-0.4410022481460029,0.5819161535935168,0.11842744141545891,-0.368649730278587,33.38727133682888,5.8923909332990645,24.960463640412613,-2.0026928575187535,-9.985772034181295
0.6855546260465608,-0.47680808819912746,-0.43796538482466496,-0.4190685513038616,-0.37386677010953967,-39.56563300366457,1.9521195211846523,-34.677685567491025,-29.934594378387832,-5.460597371051293
0.24742691429063238,-0.4555297359128088,-0.39644916507783523,-0.46050060494466794,-0.6904857265360291,-27.458779192516694,4.305145605736733,-36.36523548414302,-32.73561002642099,-15.658016438185001
0.20547851635655418,-0.35295195391761547,-0.36120505949465703,-0.4490300819211507,-0.6800023975365904,-25.65190010936732,3.4812971313746783,-36.649539037944045,-32.75511932419784,-15.591028902556687
-0.6661159740515167,-0.45652723822694413,-0.44108317361281013,-0.15600108005524924,-0.7626897081624064,2.3675840150616323,11.004814930775495,-46.550600975562276,-22.548213142818174,-23.127636408011497
-0.2279882622955883,-0.4671769787049348,-0.4789053921416544,-0.4383728737782506,-0.8395508959984658,-13.506985418722211,9.372152543918725,-41.864494655602364,-33.95820065577532,-24.53713225075083
0.5037782349988884,-0.47038790008795,-0.4256502713472722,-0.46282798433308026,-0.6897398261876988,-33.11211660389777,3.2775411213827277,-35.41136230052473,-31.530928596681118,-14.692061873307765
0.34064557636636195,-0.4777494595293998,-0.26390508263649726,-0.44304866122879466,-0.16686809005872094,-35.67539015091002,1.1886335933661836,-34.13472694671093,-33.3001416132682,-0.853757551061733
1.799517637851528,-0.47795056373462297,-0.5162107701951201,-0.4406229418662241,1.5286695193625297,-55.204952115936834,3.412665852379328,-32.512661497067555,-28.468063186972888,9.716729414667114
0.471151703272383,-0.4690683764831726,-0.4603455669411309,-0.43959995873881674,-0.4460206968662839,-33.30627834945023,2.667289980597305,-35.57097126258619,-31.099886780293136,-7.671895163944896
0.39657677361179927,-0.4408322005395611,-0.45017164971887785,-0.4634198796492405,-0.69890901907022,-29.847351356877116,3.584477995304017,-36.22258034642721,-31.801640718989855,-15.424395727321212
0.2567487804982051,-0.4113825261829132,-0.4414173311513834,-0.46354234074913564,-0.6967412426866516,-26.205846471084705,4.148577130419835,-37.00975405780411,-32.46228861820726,-15.943946391941225
0.5690312984518989,-0.36168573135685683,-0.4114497177262672,-0.463536774335504,-0.5634043112276632,-34.49934104305907,1.2866283347047092,-35.36635744967872,-31.672502204231385,-10.91158470544218
0.8393654184715145,-0.47698488170612424,-0.3897507907283046,-0.4629467344905544,-0.678318723568985,-40.36162371229318,2.592505368778088,-33.34089536326269,-30.40593745565078,-13.214547023279195
-0.8478923650991893,-0.46733569828969,-0.4544989517844554,-0.41631688749864065,-0.8206432675497117,8.424082652670512,11.04688050353712,-47.24722460220859,-35.905281588995535,-25.81537527126592
