pH,Fe,Mn,Al,SO4,SHAP_pH,SHAP_Fe,SHAP_Mn,SHAP_Al,SHAP_SO4
-0.903823562344627,-0.46971789215358634,-0.45538191931234806,0.09098564070207404,-0.44157239198109594,4.399148946367815,-0.35390703647404664,-59.99935279147496,15.05909150740444,-2.383186228395022
-0.8711970306181218,-0.47746460433238125,-0.45544814187694005,0.07391530556516715,-0.4274586864400381,4.204024190482052,-0.36051437596007563,-60.00810212873126,12.931901643148246,-2.2558049239656697
-0.9597547595900647,-0.4673022233492003,-0.4540361550112151,0.04882129442351055,-0.4219944377580773,4.733648527886267,-0.3518466599545628,-59.82155016769183,9.804855470595113,-2.206488100484431
-0.8478923650991893,-0.46480993129700143,-0.45698496208281525,0.02575778727658088,-0.43929732319704023,4.064649364849363,-0.3497209297987058,-60.21114709333427,6.930836990953318,-2.3626529085991357
0.8486872846790876,-0.47629718169294666,-0.5017696840406547,-0.4029933672262041,-0.4353697948142384,-6.0818379412103365,-0.35951865577267345,-66.12811268886819,-46.49723591047447,-2.327205542411056
0.9465668798586037,-0.47750253411286,-0.5131652934027936,-0.44600751931919186,-0.427700905467207,-6.667212208867626,-0.36054672709568897,-67.63370266661543,-51.85736900791742,-2.2579910384165225
0.8067388867450095,-0.47882994914847526,-0.48646694336759044,-0.427544343793578,-0.42640522946090514,-5.830963255071499,-0.3616789082812992,-64.10631181299942,-49.556612782273376,-2.2462970931715676
0.8673310170942335,-0.47885553774937273,-0.5036802430880776,-0.2790571677186285,-0.4311348216800923,-6.193337801716487,-0.36170073335614383,-66.38053609706706,-31.05314384710573,-2.288983375986975
-1.1415311506377372,-0.3772349048548818,0.2088197470402723,0.6698289538769199,-0.046582311361699553,5.820772167821234,-0.2750262829800263,27.75509194984845,87.19063543449788,1.1817423128435254
-0.8711970306181218,-0.4410022481460029,0.5819161535935168,0.11842744141545891,-0.368649730278587,4.204024190482052,-0.32941483847585373,77.04865691763206,18.478703358389335,-1.7250327942665005
0.6855546260465608,-0.47680808819912746,-0.43796538482466496,-0.4190685513038616,-0.37386677010953967,-5.106214161781518,-0.3599544190557341,-57.69827709306903,-48.500416771412254,-1.7721184683294462
